code,מקט,קו,כיוון,שם מפעיל,אשכול,מחוז,שם יישוב מוצא,שם יישוב יעד,מוצא_יעד מאוחד,סוג קו,שם סוג שירות,ייחודיות הקו,סוג אוטובוס,גודל אוטובוס,מספר חלופות,אורך מסלול (קמ) חלופה ראשית,"ק""מ שבועי",ממוצע נוסעים לקילומטר,מספר תחנות בקו - חלופה ראשית,הפעלת הקו,תחנות שקו זה משרת בבלעדיות,ישובים שקו זה משרת בבלעדיות,מהירות ממוצעת,משך נסיעה ממוצע (דקות),עלות תפעולית לנוסע,עלות תפעולית משוקללת,קבוצת יעילות תפעולית,כמות נסיעות יומית (ג),כמות נסיעות שבועיות,תיקופים יומי,תיקופים שבועי,ממוצע  תיקופים לנסיעה (שבועי),אומדן נוסעים (אחוזון 80),אומדן ממוצע נוסעים לנסיעה (אחוזון 80),מספר נוסעים מירבי,תקופת נסועה מירבית,הערה
19029_1,19029,29,1,מטרופולין,שרון,מרכז,כפר סבא,הרצליה,כפר סבא_הרצליה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,22.7,14725.4,1.9,74,מעל שנה וחצי,,,17.15,79.42,10.63,297919.569,עירוני תדירות גבוהה,108,625,4900.3,28026.3,44.8,36598,58.5568,138.2,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
19029_2,19029,29,2,מטרופולין,שרון,מרכז,הרצליה,כפר סבא,כפר סבא_הרצליה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,22.7,14671.6,1.9,64,מעל שנה וחצי,,,18.28,74.51,10.31,280176.312,עירוני תדירות גבוהה,108,627,4775.2,27175.2,43.3,35296.6,56.2944178628389,114,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
19031_1,19031,31,1,גי.בי.טורס,מרחב נצרת ג'י.בי טורס,גולן גליל ועמקים,נצרת,עמק הירדן,נצרת_עמק הירדן,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,3,43.9,2353.1,0.2,61,מעל שנה וחצי,,,39.5,66.68,45.3,21204.93,בינעירוני קצר,10,53,88.1,468.1,8.8,605.8,11.4301886792453,16.8,"יום חול, 06:00 - 08:59 - שיא בוקר",
19031_2,19031,31,2,גי.בי.טורס,מרחב נצרת ג'י.בי טורס,גולן גליל ועמקים,עמק הירדן,נצרת,נצרת_עמק הירדן,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,44.2,2344.8,0.2,50,מעל שנה וחצי,,,38.53,68.83,53.1,21887.82,בינעירוני קצר,10,53,76.3,412.2,7.8,568.2,10.7207547169811,24.8,"יום שישי, 09:00 - 11:59 - שפל יום 1",| מיעוט נוסעים בשעת שיא הבוקר
19032_1,19032,32,1,קווים,חדרה-נתניה,מטרופולין חיפה,חדרה,בנימינה גבעת עדה,חדרה_בנימינה גבעת עדה,בינעירוני,מאסף,סדיר,בינעירוני,מיניבוס,1,39.5,434.2,0.2,40,מעל שנה וחצי,,,32.46,73.01,47.95,4818.975,בינעירוני קצר,2,11,18.3,100.5,9.1,131.8,11.9818181818182,13,"יום חול, 15:00 - 18:59 - שיא ערב",מכסימום נוסעים בתקופת יום קטן מ 15| קו בינעירוני עם פחות מ-6 נסיעות יומיות
19032_2,19032,32,2,קווים,חדרה-נתניה,מטרופולין חיפה,רגבים,חדרה,חדרה_בנימינה גבעת עדה,בינעירוני,מאסף,סדיר,בינעירוני,מיניבוס,1,39.3,1140.4,0.2,46,מעל שנה וחצי,,,34.66,68.03,59.97,11838.078,בינעירוני קצר,5,29,35.8,197.4,6.8,272.2,9.38620689655172,15,"יום חול, 12:00 - 14:59 - שפל יום 2",מכסימום נוסעים בתקופת יום קטן מ 15| קו בינעירוני עם פחות מ-6 נסיעות יומיות| מיעוט נוסעים בשעת שיא הבוקר
19033_1,19033,33,1,גי.בי.טורס,מרחב נצרת ג'י.בי טורס,גולן גליל ועמקים,טורעאן,עפולה,טורעאן_עפולה,אזורי,מאסף,סדיר,בינעירוני,אוטובוס,1,32.3,1000.5,0.3,57,מעל שנה וחצי,,,27.99,69.24,39.58,12879.332,אזורי,6,31,61.4,325.4,10.5,427.8,13.8,26,"יום חול, 06:00 - 08:59 - שיא בוקר",
19033_2,19033,33,2,גי.בי.טורס,מרחב נצרת ג'י.בי טורס,גולן גליל ועמקים,עפולה,טורעאן,טורעאן_עפולה,אזורי,מאסף,סדיר,בינעירוני,אוטובוס,1,31,1454.6,0.3,55,מעל שנה וחצי,,,26.06,71.37,47.61,20124.747,אזורי,9,47,80.4,422.7,9,624,13.2765957446809,39,"יום חול, 12:00 - 14:59 - שפל יום 2",
19034_1,19034,34,1,נתיב אקספרס,הגליל,גולן גליל ועמקים,ראס אל עין,תרדיון,ראס אל עין_תרדיון,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,2,39.3,1178.8,0,42,מעל שנה וחצי,,,37.8,62.38,254.61,11228.301,אזורי,6,30,8,44.1,1.5,80,2.66666666666667,8,"יום חול, 06:00 - 08:59 - שיא בוקר",מכסימום נוסעים בתקופת יום קטן מ 7| ממוצע נוסעים לקמ נמוך| מיעוט נוסעים בשעת שיא הבוקר| מספר נוסעים בשבוע קטן מ 100 - יש לבחון תרומת קו זה לרשת
19034_2,19034,34,2,נתיב אקספרס,הגליל,גולן גליל ועמקים,תרדיון,ראס אל עין,ראס אל עין_תרדיון,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,2,39.9,1191.3,0,39,מעל שנה וחצי,,,34.9,68.6,465.96,12347.94,אזורי,6,30,4.8,26.5,0.9,50,1.66666666666667,3,"יום חול, 09:00 - 11:59 - שפל יום 1",מכסימום נוסעים בתקופת יום קטן מ 3| ממוצע נוסעים לקמ נמוך| מספר נוסעים בשבוע קטן מ 100 - יש לבחון תרומת קו זה לרשת
